# 
# 08/14/2025 13:29:24
# The parameters defined in the project are:
# ,P2 - radius [m],P3 - rocketLocation [m],P4 - NoseConeLength [cm],P5 - fuselageLength [m],P6 - pointRoundingRadius [mm],P7 - pointRoundingHeight [mm],P8 - overallLength [m],P9 - diameter [cm],P10 - boi_upstream [m],P11 - boi_radius [m],P12 - boi_downstream [m],P13 - farfield_upstream [m],P14 - farfield_downstream [m],P15 - farfield_radius [m],P16 - AoA [degree],P17 - velocitydueMach [m s^-1],P18 - Mach,P19 - localAbsTemp [K],P21 - machNumb,P25 - speedSound [m s^-1],P26 - lift-force-y-op [N],P27 - side-force-z-op [N],P28 - drag-force-op [N]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P25,P26,P27,P28
DP 0,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,0,20.412222221012584,0.06,288,0.059999993,340.2037,0.00078450769,0.21250602,-0.29641506
DP 1,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,5,20.412222221012584,0.06,288,0.059999993,340.2037,0.19458151,0.51441286,-0.37801504
DP 2,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,10,20.412222221012584,0.06,288,0.059999993,340.2037,0.42862951,1.2897493,-0.48563796
DP 3,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,15,20.412222221012584,0.06,288,0.059999993,340.2037,0.79119805,2.3954631,-0.64891174
DP 4,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,20,20.412222221012584,0.06,288,0.059999993,340.2037,1.2914511,3.6904152,-0.91188782
DP 5,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,25,20.412222221012584,0.06,288,0.059999993,340.2037,1.872526,5.0910256,-1.2971326
DP 9,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,0,34.020370368354314,0.1,288,0.099999999,340.2037,0.0317596,0.61770954,-0.8147783
DP 10,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,5,34.020370368354314,0.1,288,0.099999999,340.2037,0.52755589,1.4467143,-0.98497402
DP 11,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,10,34.020370368354314,0.1,288,0.099999999,340.2037,1.1841635,3.5965684,-1.2745839
DP 12,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,15,34.020370368354314,0.1,288,0.099999999,340.2037,2.1524813,6.7325322,-1.7166107
DP 13,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,20,34.020370368354314,0.1,288,0.099999999,340.2037,3.585351,10.328493,-2.4546417
DP 14,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,25,34.020370368354314,0.1,288,0.099999999,340.2037,5.1210001,14.253933,-3.4645634
DP 15,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,0,102.06111110506292,0.3,288,0.29999997,340.2037,0.26043301,5.7168664,-6.9074484
DP 16,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,5,102.06111110506292,0.3,288,0.29999997,340.2037,4.5966256,14.666398,-8.5914916
DP 17,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,10,102.06111110506292,0.3,288,0.29999997,340.2037,9.8018799,34.987939,-10.927485
DP 18,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,15,102.06111110506292,0.3,288,0.29999997,340.2037,17.881902,64.093939,-14.520641
DP 19,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,20,102.06111110506292,0.3,288,0.29999997,340.2037,29.27667,98.447031,-20.384617
DP 20,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,25,102.06111110506292,0.3,288,0.29999997,340.2037,41.888305,136.71691,-28.749558
DP 21,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,0,170.10185184177155,0.5,288,0.50000014,340.2037,0.56825184,156.08775,-17.254064
DP 22,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,5,170.10185184177155,0.5,288,0.50000014,340.2037,12.268511,176.47381,-21.475949
DP 23,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,10,170.10185184177155,0.5,288,0.50000014,340.2037,26.248534,232.16276,-27.565343
DP 24,0.04,0.75,30,1.2,1.5,1.2,1.5,8,0.04,0.08,2.3,1.55,2.75,3.2,15,170.10185184177155,0.5,288,0.50000014,340.2037,47.92227,314.22161,-37.188338
