# 
# 10/02/2025 18:15:22
# The parameters defined in the project are:
# ,P29 - NoseConeLength [cm],P30 - radius [m],P31 - rocketLocation [m],P32 - fuselageLength [cm],P33 - pointRoundingRadius [mm],P34 - pointRoundingHeight [mm],P35 - overallLength [m],P36 - diameter [mm],P37 - boi_upstream [mm],P38 - boi_radius [mm],P39 - boi_downstream [mm],P40 - farfield_upstream [m],P41 - farfield_downstream [m],P42 - farfield_radius [m],P43 - boi_NCpoint [m],P44 - boi_NCpointDiam [mm],P45 - Croot [cm],P46 - Ctip [cm],P47 - finLocation_base2TE [cm],P48 - enlarging [cm],P49 - semi_span [m],P51 - locationFinRadius [m],P53 - sweepLength [m],P54 - sweepAngle [degree],P55 - MachInput,P56 - operatingPressure [Pa],P57 - inputAbsTemp [K],P61 - locationFinRight [m],P65 - NoseConeLength [cm],P66 - radius [m],P67 - rocketLocation [m],P68 - fuselageLength [cm],P69 - pointRoundingRadius [mm],P70 - pointRoundingHeight [mm],P71 - overallLength [m],P72 - diameter [mm],P73 - boi_upstream [mm],P74 - boi_radius [mm],P75 - boi_downstream [mm],P76 - farfield_upstream [mm],P77 - farfield_downstream [mm],P78 - farfield_radius [mm],P79 - boi_NCpoint [m],P80 - boi_NCpointDiam [mm],P81 - Croot [cm],P82 - Ctip [cm],P83 - finLocation_base2TE [cm],P84 - enlarging [cm],P85 - semi_span [m],P88 - sweepLength [m],P89 - sweepAngle [degree],P91 - velocity_incompressible [m s^-1],P95 - Mach_incompressible,P97 - AoA_incompressible [degree],P101 - AoA_compressible [degree],P108 - velocityIn [m s^-1],P109 - temperatureAmbient [K],P105 - sideforce-incompressible-op [N],P106 - lift-force-incompressible-op [N],P107 - drag-force-incompressible-op [N],P110 - side-force-op [N],P111 - lift-force-op [N],P112 - drag-force-op [N]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P53,P54,P55,P56,P57,P61,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P88,P89,P91,P95,P97,P101,P108,P109,P105,P106,P107,P110,P111,P112
DP 0,20,0.047450000000000006,0.80999999999999994,142,1.5,1.2,1.6199999999999999,94.9,40,80,2300,16.2,32.4,1.8980000000000001,0.80999999999999994,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.80999999999999994,20,0.047450000000000006,0.80999999999999994,142,1.5,1.2,1.6199999999999999,94.9,40,80,2300,1550,2750,3200,0.80999999999999994,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,0,0,170.08703654305933,288,0.0039146302,-0.0013031209,-0.86496737,-0.31943962,0.16981572,-73.019291
DP 1,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,0,0,170.08703654305933,288,0.033958987,-0.0044826305,-3.2469282,0.70427556,-0.40143084,-71.256329
DP 2,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,0,0,204.10444385167119,288,0.38177033,0.032533772,-28.018131,0.8445566,-0.47210936,-82.615227
DP 3,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,5,5,136.06962923444746,288,2.1649561,-0.00028605582,-1.0505835,100.05605,-0.02534123,-42.054347
DP 4,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,5,5,170.08703654305933,288,8.7412324,0.00034682447,-4.0654627,208.24944,-0.24506836,-91.529394
DP 5,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,5,5,204.10444385167119,288,80.441749,0.027917249,-35.427133,256.71417,0.1464984,-107.04266
DP 6,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,10,10,136.06962923444746,288,4.178565,-0.000945681,-1.5957352,211.77043,-0.28023513,-70.935411
DP 7,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,10,10,170.08703654305933,288,16.898724,0.018045355,-6.236162,424.22075,-0.28853336,-145.99617
DP 8,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,10,10,204.10444385167119,288,154.14713,0.13130802,-54.721609,510.80961,-0.35298541,-170.94469
DP 9,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,15,15,136.06962923444746,288,6.1501544,8.430666E-06,-2.5117899,322.6619,0.26632198,-119.93186
